"","spt","team","status","player","begin","end","grade","location","opponent","tG","tGA","npG","pG","npA","pA","ownG","ylw","ylwred","red","sds"
"1",1,"Bor. Mönchengladbach","start","Omlin",0,90,2.5,"home","Bayer 04 Leverkusen",2,3,0,0,0,0,0,0,0,0,FALSE
"2",1,"Bor. Mönchengladbach","start","Scally",0,90,4,"home","Bayer 04 Leverkusen",2,3,0,0,0,0,0,0,0,0,FALSE
"3",1,"Bor. Mönchengladbach","start","Itakura",0,90,3,"home","Bayer 04 Leverkusen",2,3,0,0,0,0,0,0,0,0,FALSE
"4",1,"Bor. Mönchengladbach","start","Elvedi",0,90,3.5,"home","Bayer 04 Leverkusen",2,3,1,0,0,0,0,0,0,0,FALSE
"5",1,"Bor. Mönchengladbach","start","Honorat",0,90,4,"home","Bayer 04 Leverkusen",2,3,0,0,0,0,0,0,0,0,FALSE
"6",1,"Bor. Mönchengladbach","start","Reitz",0,71,3.5,"home","Bayer 04 Leverkusen",2,3,0,0,0,0,0,0,0,0,FALSE
"7",1,"Bor. Mönchengladbach","start","Weigl",0,90,3.5,"home","Bayer 04 Leverkusen",2,3,0,0,0,0,0,0,0,0,FALSE
"8",1,"Bor. Mönchengladbach","start","Netz",0,90,5,"home","Bayer 04 Leverkusen",2,3,0,0,0,0,0,0,0,0,FALSE
"9",1,"Bor. Mönchengladbach","start","Stöger",0,90,2,"home","Bayer 04 Leverkusen",2,3,0,0,1,0,0,0,0,0,FALSE
"10",1,"Bor. Mönchengladbach","start","Plea",0,71,5,"home","Bayer 04 Leverkusen",2,3,0,0,0,0,0,0,0,0,FALSE
"11",1,"Bor. Mönchengladbach","start","Kleindienst",0,90,2.5,"home","Bayer 04 Leverkusen",2,3,1,0,0,0,0,0,0,0,FALSE
"12",1,"Bor. Mönchengladbach","sub","Cvancara",71,90,NA,"home","Bayer 04 Leverkusen",2,3,0,0,0,0,0,0,0,0,FALSE
